cell_id,ix,iz,x,z,rho_true,rho_est
147,14,7,14,-7,0,0.0439954
148,14,8,14,-8,0,0.0439867
149,14,9,14,-9,0,0.0439643
150,15,0,15,0,0,0.0132634
151,15,1,15,-1,0,0.0196699
152,15,2,15,-2,0,0.0259008
153,15,3,15,-3,0,0.0307326
154,15,4,15,-4,0,0.0341862
155,15,5,15,-5,0,0.0365589
156,15,6,15,-6,0,0.0381451
157,15,7,15,-7,0,0.0391683
158,15,8,15,-8,0,0.0397789
159,15,9,15,-9,0,0.0400655
160,16,0,16,0,0,0.00547621
161,16,1,16,-1,0,0.0110344
162,16,2,16,-2,0,0.017257
163,16,3,16,-3,0,0.0227657
164,16,4,16,-4,0,0.027212
165,16,5,16,-5,0,0.0306171
166,16,6,16,-6,0,0.0331168
167,16,7,16,-7,0,0.0348583
168,16,8,16,-8,0,0.0359598
169,16,9,16,-9,0,0.0364969
170,17,0,17,0,0,0.00124486
171,17,1,17,-1,0,0.0058597
172,17,2,17,-2,0,0.0115828
173,17,3,17,-3,0,0.017174
174,17,4,17,-4,0,0.022069
175,17,5,17,-5,0,0.026068
176,17,6,17,-6,0,0.0291556
177,17,7,17,-7,0,0.03139
178,17,8,17,-8,0,0.0328416
179,17,9,17,-9,0,0.0335608
180,18,0,18,0,0,-0.000460425
181,18,1,18,-1,0,0.00300313
182,18,2,18,-2,0,0.00815474
183,18,3,18,-3,0,0.0136442
184,18,4,18,-4,0,0.0187149
185,18,5,18,-5,0,0.0230213
186,18,6,18,-6,0,0.0264449
187,18,7,18,-7,0,0.0289768
188,18,8,18,-8,0,0.0306467
189,18,9,18,-9,0,0.0314816
190,19,0,19,0,0,-0.00187048
191,19,1,19,-1,0,0.00133271
192,19,2,19,-2,0,0.00641656
193,19,3,19,-3,0,0.0119112
194,19,4,19,-4,0,0.017062
195,19,5,19,-5,0,0.0215005
196,19,6,19,-6,0,0.0250738
197,19,7,19,-7,0,0.0277426
198,19,8,19,-8,0,0.0295152
199,19,9,19,-9,0,0.0304051
